DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
5,16,no,yes,8948.53,34.85
5,17,no,yes,9179.46,35.06
5,18,no,yes,9304.92,35.34
5,19,no,yes,9361.57,34.96
5,20,no,yes,9461.02,35.31
5,21,no,yes,9538.78,37.99
5,22,no,yes,9627.81,41.73
5,23,no,yes,9644.43,41.86
5,24,no,yes,9720.02,41.82
5,25,no,yes,9729.93,41.89
5,26,no,yes,9876.29,41.84
5,27,no,yes,9946.64,39.62
5,28,no,yes,9980.21,35.19
5,29,no,yes,9965.88,34.49
5,30,no,yes,10103.5,34.69
5,31,no,yes,10150.83,35.5
5,32,no,yes,10124.46,34.99
5,33,no,yes,10038.19,33.53
5,34,no,yes,10016.21,35.28
5,35,no,yes,9751.17,33.07
5,36,no,yes,9559.85,31.53
5,37,no,no,9358.57,32.01
5,38,no,no,9223.44,33.51
5,39,no,no,9276.08,35.16
5,40,no,no,9149.95,34.61
5,41,no,no,8891.64,35.46
5,42,no,no,8548.92,32.61
5,43,no,no,8393.92,30.47
5,44,no,no,8056.78,28.06
5,45,no,no,7914.63,29.46
5,46,no,no,7723.41,28.5
5,47,no,no,7567.73,28.26
6,0,no,no,7376.61,27.97
6,1,no,no,7194.68,26.73
6,2,no,no,6935.31,25
6,3,no,no,6606.09,22.22
6,4,no,no,6306.45,18.96
6,5,no,no,6200.45,18.52
6,6,no,no,6206.57,18.96
6,7,no,no,6141.77,18.96
6,8,no,no,6233.13,18.96
6,9,no,no,6449.63,22.07
6,10,no,no,6726.13,26.68
6,11,no,no,7234.48,31.85
6,12,no,no,7760.58,28
6,13,no,no,8185.75,31.04
6,14,no,no,8539.6,34.26
6,15,no,no,8804.13,33.65
6,16,no,yes,8912.52,34.2
6,17,no,yes,9095.81,36.21
6,18,no,yes,9191.6,35.18
6,19,no,yes,9268.18,36.94
6,20,no,yes,9353.94,34.83
6,21,no,yes,9387.43,117.79
6,22,no,yes,9410.47,35.26
6,23,no,yes,9379.7,34.88
6,24,no,yes,9401.06,35.14
6,25,no,yes,9428.67,38.21
6,26,no,yes,9371.87,39.76
6,27,no,yes,9347.19,37.2
6,28,no,yes,9324.15,39.72
6,29,no,yes,9240.59,35.61
6,30,no,yes,9219.73,35.9
6,31,no,yes,9246.32,35.65
6,32,no,yes,9280.84,36.78
6,33,no,yes,9138.53,33.03
6,34,no,yes,9057.47,32.87
6,35,no,yes,8843.97,29.57
6,36,no,yes,8705.34,29.23
6,37,no,no,8547.26,28.02
6,38,no,no,8528.66,35.87
6,39,no,no,8622.69,31.79
6,40,no,no,8530.06,29.39
6,41,no,no,8335.98,28.08
6,42,no,no,8104.12,27.96
6,43,no,no,8137.86,28.66
6,44,no,no,7919.73,27.16
6,45,no,no,7800.99,26.63
6,46,no,no,7669.5,26.12
6,47,no,no,7443.52,25.21
7,0,yes,no,7312.45,23.78
7,1,yes,no,7097.79,23.71
7,2,yes,no,6848.44,24.49
7,3,yes,no,6531.45,22.46
7,4,yes,no,6231.69,18.96
7,5,yes,no,6099.01,18.15
7,6,yes,no,6039.53,18.18
7,7,yes,no,6014.47,17.33
7,8,yes,no,6025,17.38
